"name" "party" "age" "sex"
"PAOLO COPPOLA" "Partito Democratico" "48" "M"
"PAOLO COVA" "Partito Democratico" "59" "M"
"PAOLO FONTANELLI" "Partito Democratico" "68" "M"
"PAOLO GANDOLFI" "Partito Democratico" "55" "M"
"PAOLO GENTILONI SILVERI" "Partito Democratico" "67" "M"
"PAOLO PETRINI" "Partito Democratico" "58" "M"
"PAOLO ROSSI" "Partito Democratico" "63" "M"
"PATRIZIA MAESTRI" "Partito Democratico" "67" "F"
"PIER LUIGI BERSANI" "Partito Democratico" "70" "M"
"PIER PAOLO BARETTA" "Partito Democratico" "72" "M"
"PIERDOMENICO MARTINO" "Partito Democratico" "58" "M"
"PIERGIORGIO CARRESCIA" "Partito Democratico" "64" "M"
"RAFFAELLA MARIANI" "Partito Democratico" "61" "F"
"RENZO CARELLA" "Partito Democratico" "70" "M"
"ROBERTA AGOSTINI" "Partito Democratico" "55" "F"
"ROBERTO GIACHETTI" "Partito Democratico" "60" "M"
"ROBERTO MORASSUT" "Partito Democratico" "58" "M"
"ROBERTO RAMPI" "Partito Democratico" "44" "M"
"ROBERTO SPERANZA" "Partito Democratico" "42" "M"
"ROGER DE MENECH" "Partito Democratico" "48" "M"
"ROMINA MURA" "Partito Democratico" "51" "F"
"ROSA MARIA VILLECCO" "Partito Democratico" "63" "F"
"ROSARIA BINDI" "Partito Democratico" "70" "F"
"SABRINA CAPOZZOLO" "Partito Democratico" "35" "F"
"SALVATORE CAPONE" "Partito Democratico" "54" "M"
"SALVATORE PICCOLO" "Partito Democratico" "73" "M"
"SANDRA ZAMPA" "Partito Democratico" "65" "F"
"SANDRO GOZI" "Partito Democratico" "53" "M"
"SARA MORETTO" "Partito Democratico" "41" "F"
"SERGIO BOCCADUTRI" "Partito Democratico" "45" "M"
"SILVIA FREGOLENT" "Partito Democratico" "49" "F"
"SILVIA VELO" "Partito Democratico" "54" "F"
"SIMONA BONAFE'" "Partito Democratico" "48" "F"
"SIMONA FLAVIA MALPEZZI" "Partito Democratico" "49" "F"
"SIMONE VALIANTE" "Partito Democratico" "47" "M"
"SIMONETTA RUBINATO" "Partito Democratico" "58" "F"
"SIRO MARROCU" "Partito Democratico" "67" "M"
"SOFIA AMODDIO" "Partito Democratico" "57" "F"
"STEFANIA COVELLO" "Partito Democratico" "49" "F"
"STEFANO FASSINA" "Partito Democratico" "55" "M"
"SUSANNA CENNI" "Partito Democratico" "58" "F"
"TAMARA BLAZINA" "Partito Democratico" "69" "F"
"TEA ALBINI" "Partito Democratico" "71" "F"
"TERESA BELLANOVA" "Partito Democratico" "63" "F"
"TERESA PICCIONE" "Partito Democratico" "66" "F"
"TIZIANO ARLOTTI" "Partito Democratico" "62" "M"
"TOMMASO GINOBLE" "Partito Democratico" "68" "M"
"UMBERTO D'OTTAVIO" "Partito Democratico" "60" "M"
"UMBERTO DEL BASSO DE CARO" "Partito Democratico" "68" "M"
"UMBERTO MARRONI" "Partito Democratico" "55" "M"
"VALENTINA PARIS" "Partito Democratico" "40" "F"
"VALERIA VALENTE" "Partito Democratico" "45" "F"
"VANESSA CAMANI" "Partito Democratico" "45" "F"
"VANNA IORI" "Partito Democratico" "73" "F"
"VERONICA TENTORI" "Partito Democratico" "36" "F"
"VINCENZA BRUNO BOSSIO" "Partito Democratico" "64" "F"
"VINCENZO AMENDOLA" "Partito Democratico" "48" "M"
"VINCENZO D'ARIENZO" "Partito Democratico" "56" "M"
"VINCENZO FOLINO" "Partito Democratico" "63" "M"
"VINICIO GIUSEPPE GUIDO PELUFFO" "Partito Democratico" "50" "M"
"VITTORIA D'INCECCO" "Partito Democratico" "65" "F"
"WALTER VERINI" "Partito Democratico" "65" "M"
"ALESSANDRO ZAN" "Sinistra Ecologia Libertà" "48" "M"
"ANNA LUCIA LISA PANNARALE" "Sinistra Ecologia Libertà" "45" "F"
"ANTONIO MATARRELLI" "Sinistra Ecologia Libertà" "46" "M"
"ANTONIO PLACIDO" "Sinistra Ecologia Libertà" "59" "M"
"ARCANGELO SANNICANDRO" "Sinistra Ecologia Libertà" "78" "M"
"ARTURO SCOTTO" "Sinistra Ecologia Libertà" "43" "M"
"CELESTINA COSTANTINO" "Sinistra Ecologia Libertà" "42" "F"
"DANIELE FARINA" "Sinistra Ecologia Libertà" "57" "M"
"DONATELLA DURANTI" "Sinistra Ecologia Libertà" "61" "F"
"ERASMO PALAZZOTTO" "Sinistra Ecologia Libertà" "39" "M"
"FABIO LAVAGNO" "Sinistra Ecologia Libertà" "44" "M"
"FILIBERTO ZARATTI" "Sinistra Ecologia Libertà" "65" "M"
"FLORIAN KRONBICHLER" "Sinistra Ecologia Libertà" "70" "M"
"FRANCESCO FERRARA" "Sinistra Ecologia Libertà" "67" "M"
"FRANCO BORDO" "Sinistra Ecologia Libertà" "62" "M"
"GENEROSO MELILLA" "Sinistra Ecologia Libertà" "67" "M"
"GENNARO MIGLIORE" "Sinistra Ecologia Libertà" "53" "M"
"GIANCARLO GIORDANO" "Sinistra Ecologia Libertà" "49" "M"
"GIORGIO AIRAUDO" "Sinistra Ecologia Libertà" "61" "M"
"GIOVANNI PAGLIA" "Sinistra Ecologia Libertà" "44" "M"
"GIULIO MARCON" "Sinistra Ecologia Libertà" "62" "M"
"ILEANA CATHIA PIAZZONI" "Sinistra Ecologia Libertà" "49" "F"
"LARA RICCIATTI" "Sinistra Ecologia Libertà" "36" "F"
"LUIGI LACQUANITI" "Sinistra Ecologia Libertà" "55" "M"
"MARISA NICCHI" "Sinistra Ecologia Libertà" "67" "F"
"MARTINA NARDI" "Sinistra Ecologia Libertà" "48" "F"
"MASSIMILIANO SMERIGLIO" "Sinistra Ecologia Libertà" "55" "M"
"MICHELE PIRAS" "Sinistra Ecologia Libertà" "49" "M"
"NAZZARENO PILOZZI" "Sinistra Ecologia Libertà" "52" "M"
"NICOLA FRATOIANNI" "Sinistra Ecologia Libertà" "49" "M"
"NICOLA VENDOLA" "Sinistra Ecologia Libertà" "63" "M"
"SERENA PELLEGRINO" "Sinistra Ecologia Libertà" "55" "F"
"STEFANO QUARANTA" "Sinistra Ecologia Libertà" "50" "M"
"TERESA MARIA DI SALVO" "Sinistra Ecologia Libertà" "66" "F"
"ALBERTO ZOLEZZI" "Movimento 5 Stelle" "47" "M"
"ALESSANDRO DI BATTISTA" "Movimento 5 Stelle" "43" "M"
"ALESSIO MATTIA VILLAROSA" "Movimento 5 Stelle" "40" "M"
"ALFONSO BONAFEDE" "Movimento 5 Stelle" "45" "M"
"ANDREA CECCONI" "Movimento 5 Stelle" "37" "M"
"ANDREA COLLETTI" "Movimento 5 Stelle" "40" "M"
"ANDREA VALLASCAS" "Movimento 5 Stelle" "46" "M"
"ANGELO TOFALO" "Movimento 5 Stelle" "40" "M"
"ARIANNA SPESSOTTO" "Movimento 5 Stelle" "36" "F"
"ARIS PRODANI" "Movimento 5 Stelle" "48" "M"
"AZZURRA PIA MARIA CANCELLERI" "Movimento 5 Stelle" "37" "F"
"CARLA RUOCCO" "Movimento 5 Stelle" "48" "F"
"CARLO SIBILIA" "Movimento 5 Stelle" "35" "M"
"CHIARA DI BENEDETTO" "Movimento 5 Stelle" "34" "F"
"CHIARA GAGNARLI" "Movimento 5 Stelle" "40" "F"
"CLAUDIA MANNINO" "Movimento 5 Stelle" "43" "F"
"CLAUDIO COMINARDI" "Movimento 5 Stelle" "40" "M"
"COSIMO PETRAROLI" "Movimento 5 Stelle" "43" "M"
"CRISTIAN IANNUZZI" "Movimento 5 Stelle" "48" "M"
"DALILA NESCI" "Movimento 5 Stelle" "35" "F"
"DANIELE DEL GROSSO" "Movimento 5 Stelle" "40" "M"
"DANIELE PESCO" "Movimento 5 Stelle" "48" "M"
"DANILO TONINELLI" "Movimento 5 Stelle" "47" "M"
"DAVIDE CRIPPA" "Movimento 5 Stelle" "42" "M"
"DAVIDE TRIPIEDI" "Movimento 5 Stelle" "37" "M"
"DIEGO DE LORENZIS" "Movimento 5 Stelle" "42" "M"
"DONATELLA AGOSTINELLI" "Movimento 5 Stelle" "47" "F"
"ELEONORA BECHIS" "Movimento 5 Stelle" "47" "F"
"EMANUELA CORDA" "Movimento 5 Stelle" "47" "F"
"EMANUELE COZZOLINO" "Movimento 5 Stelle" "40" "M"
"EMANUELE SCAGLIUSI" "Movimento 5 Stelle" "37" "M"
"FABIANA DADONE" "Movimento 5 Stelle" "37" "F"
"FEDERICA DAGA" "Movimento 5 Stelle" "45" "F"
"FEDERICA DIENI" "Movimento 5 Stelle" "35" "F"
"FEDERICO D'INCA'" "Movimento 5 Stelle" "45" "M"
"FERDINANDO ALBERTI" "Movimento 5 Stelle" "39" "M"
"FILIPPO GALLINELLA" "Movimento 5 Stelle" "42" "M"
"FRANCESCA BUSINAROLO" "Movimento 5 Stelle" "38" "F"
"FRANCESCO CARIELLO" "Movimento 5 Stelle" "46" "M"
"FRANCESCO D'UVA" "Movimento 5 Stelle" "34" "M"
"GESSICA ROSTELLATO" "Movimento 5 Stelle" "39" "F"
"GIANLUCA RIZZO" "Movimento 5 Stelle" "47" "M"
"GIANLUCA VACCA" "Movimento 5 Stelle" "48" "M"
"GIRGIS SORIAL" "Movimento 5 Stelle" "38" "M"
"GIROLAMO PISANO" "Movimento 5 Stelle" "47" "M"
"GIULIA DI VITA" "Movimento 5 Stelle" "37" "F"
"GIULIA GRILLO" "Movimento 5 Stelle" "46" "F"
"GIULIA SARTI" "Movimento 5 Stelle" "35" "F"
"GIUSEPPE BRESCIA" "Movimento 5 Stelle" "38" "M"
"GIUSEPPE D'AMBROSIO" "Movimento 5 Stelle" "43" "M"
"GIUSEPPE L'ABBATE" "Movimento 5 Stelle" "36" "M"
"IVAN DELLA VALLE" "Movimento 5 Stelle" "47" "M"
"LAURA CASTELLI" "Movimento 5 Stelle" "35" "F"
"LOREDANA LUPO" "Movimento 5 Stelle" "43" "F"
"LUCA FRUSONE" "Movimento 5 Stelle" "36" "M"
"LUIGI DI MAIO" "Movimento 5 Stelle" "35" "M"
"LUIGI GALLO" "Movimento 5 Stelle" "44" "M"
"MANLIO DI STEFANO" "Movimento 5 Stelle" "40" "M"
"MARA MUCCI" "Movimento 5 Stelle" "39" "F"
"MARCO BALDASSARRE" "Movimento 5 Stelle" "37" "M"
"MARCO BRUGNEROTTO" "Movimento 5 Stelle" "44" "M"
"MARCO DA VILLA" "Movimento 5 Stelle" "46" "M"
"MARIA EDERA SPADONI" "Movimento 5 Stelle" "42" "F"
"MARIA MARZANA" "Movimento 5 Stelle" "39" "F"
"MARIALUCIA LOREFICE" "Movimento 5 Stelle" "41" "F"
"MARTA GRANDE" "Movimento 5 Stelle" "34" "F"
"MASSIMILIANO BERNINI" "Movimento 5 Stelle" "46" "M"
"MASSIMO ARTINI" "Movimento 5 Stelle" "47" "M"
"MASSIMO ENRICO BARONI" "Movimento 5 Stelle" "48" "M"
"MASSIMO FELICE DE ROSA" "Movimento 5 Stelle" "42" "M"
"MATTEO DALL'OSSO" "Movimento 5 Stelle" "43" "M"
"MATTEO MANTERO" "Movimento 5 Stelle" "47" "M"
"MATTIA FANTINATI" "Movimento 5 Stelle" "46" "M"
"MICHELE DELL'ORCO" "Movimento 5 Stelle" "36" "M"
"MIRELLA LIUZZI" "Movimento 5 Stelle" "36" "F"
"MIRKO BUSTO" "Movimento 5 Stelle" "45" "M"
"NICOLA BIANCHI" "Movimento 5 Stelle" "41" "M"
"PAOLA CARINELLI" "Movimento 5 Stelle" "41" "F"
"PAOLA PINNA" "Movimento 5 Stelle" "47" "F"
"PAOLO BERNINI" "Movimento 5 Stelle" "34" "M"
"PAOLO NICOLO' ROMANO" "Movimento 5 Stelle" "37" "M"
"PAOLO PARENTELA" "Movimento 5 Stelle" "38" "M"
"PATRIZIA TERZONI" "Movimento 5 Stelle" "39" "F"
"RICCARDO FRACCARO" "Movimento 5 Stelle" "40" "M"
"RICCARDO NUTI" "Movimento 5 Stelle" "40" "M"
"ROBERTA LOMBARDI" "Movimento 5 Stelle" "48" "F"
"ROBERTO FICO" "Movimento 5 Stelle" "47" "M"
"SALVATORE MICILLO" "Movimento 5 Stelle" "41" "M"
"SAMUELE SEGONI" "Movimento 5 Stelle" "43" "M"
"SEBASTIANO BARBANTI" "Movimento 5 Stelle" "45" "M"
"SERGIO BATTELLI" "Movimento 5 Stelle" "39" "M"
"SILVIA BENEDETTI" "Movimento 5 Stelle" "42" "F"
"SILVIA CHIMIENTI" "Movimento 5 Stelle" "36" "F"
"SILVIA GIORDANO" "Movimento 5 Stelle" "35" "F"
"SIMONE VALENTE" "Movimento 5 Stelle" "34" "M"
"STEFANO VIGNAROLI" "Movimento 5 Stelle" "45" "M"
"TANCREDI TURCO" "Movimento 5 Stelle" "46" "M"
"TATIANA BASILIO" "Movimento 5 Stelle" "46" "F"
"TIZIANA CIPRINI" "Movimento 5 Stelle" "45" "F"
"TOMMASO CURRO'" "Movimento 5 Stelle" "48" "M"
"VEGA COLONNESE" "Movimento 5 Stelle" "42" "F"
"VINCENZO CASO" "Movimento 5 Stelle" "41" "M"
"VITTORIO FERRARESI" "Movimento 5 Stelle" "34" "M"
"WALTER RIZZETTO" "Movimento 5 Stelle" "46" "M"
"ADRIANO ZACCAGNINI" "mixed or minor group" "39" "M"
"ALBRECHT PLANGGER" "mixed or minor group" "61" "M"
"ALESSANDRO FURNARI" "mixed or minor group" "45" "M"
"ALESSIO TACCONI" "mixed or minor group" "44" "M"
"ANDREA MAESTRI" "mixed or minor group" "46" "M"
"ANIELLO FORMISANO" "mixed or minor group" "67" "M"
"BEATRICE BRIGNONE" "mixed or minor group" "43" "F"
"BRUNO TABACCI" "mixed or minor group" "75" "M"
"CARMELO LO MONTE" "mixed or minor group" "65" "M"
"DANIEL ALFREIDER" "mixed or minor group" "40" "M"
"EDOARDO NESI" "mixed or minor group" "57" "M"
"FRANCESCO BRUNO" "mixed or minor group" "59" "M"
"GIOVANNI GIUSEPPE CLAUDIO FAVA" "mixed or minor group" "64" "M"
"GIUSEPPE PISICCHIO" "mixed or minor group" "67" "M"
"IVAN CATALANO" "mixed or minor group" "35" "M"
"MANFRED SCHULLIAN" "mixed or minor group" "59" "M"
"MARCO DI LELLO" "mixed or minor group" "51" "M"
"MARIO BORGHESE" "mixed or minor group" "40" "M"
"MAURO OTTOBRE" "mixed or minor group" "47" "M"
"MAURO PILI" "mixed or minor group" "55" "M"
"ORESTE PASTORELLI" "mixed or minor group" "66" "M"
"PIA ELDA LOCATELLI" "mixed or minor group" "72" "F"
"RAFFAELE DI GIOIA" "mixed or minor group" "70" "M"
"RENATA BUENO" "mixed or minor group" "42" "F"
"RENATE GEBHARD" "mixed or minor group" "44" "F"
"RICARDO ANTONIO MERLO" "mixed or minor group" "59" "M"
"ROBERTO CAPELLI" "mixed or minor group" "64" "M"
"VINCENZA LABRIOLA" "mixed or minor group" "40" "F"
